DealName	Account	EscalatorPct	DealOptionStatus	OptionDeadline	DealOptionDecision	OptionNegotiationWindow	DealOptionNotes	PlayoffOptionStatus	PlayoffOptionDeadline	PlayoffOptionDecision	PlayoffOptionNote
Alaska Airlines - 2026	Alaska Airlines	5	unknown			None - the Second Amendment fixes expiry at 12/31/2026 with no further extension	Base Partnership Agreement effective 1/20/2022, term through 12/31/2024, auto-extending up to two 12-month periods unless notice by December 15. Those extensions ran, and the SECOND AMENDMENT (effective 2/4/2025) confirms the Term 'has been automatically extended through December 31, 2026' and 'shall automatically expire on December 31, 2026'. NO OPTION REMAINS and there is no ROFR or standstill - 2026 is the final contracted season and 2027 requires a newly negotiated agreement. DEAL TOTAL IS CASH PLUS TRADE: 2026 is $166,950 cash + $60,000 Trade Credit = $226,950, which is what Dynamics records. THE AMENDMENT WAS NEARLY VALUE-NEUTRAL: the base agreement had priced 2026 at $151,935 cash + $75,000 trade = $226,935. The Second Amendment raised cash by $15,015 and cut trade by $15,000 - a net change of $15. The 5.0% cash escalator was already in the base agreement; the amendment changed the base, not the rate, and traded trade-credit value for cash. Payment timing also moved forward sharply: the base had annual installments due May 1, while the amendment makes 2025 due on execution and 2026 due 1/1/2026. Trade Credit is use-it-or-lose-it - Exh. D states there are no roll-over benefits for unused trade. MISSING DOCUMENT: the First Amendment (8/16/2024) was not provided; the Second Amendment restates fees and term, so the gap is probably harmless but is unverified. Minor drafting note: the Second Amendment numbers its sections 2, 3, 2, 3.	in			Base Sec 3(c), unamended: Force 10 'shall be obligated' to provide Exh. C benefits during each WNBA Playoff Game and PARTNER 'shall be obligated to make payment' - no opt-out on the primary tier. THE SECOND AMENDMENT REWROTE AND EXPANDED EXHIBIT C: it now covers AWAY games as well as home, with higher game maximums (1st round max 3, Semis max 5, Finals max 7). Home $7,412 / $8,056 / $9,688; away $3,761 / $4,088 / $4,905. MAXIMUM PLAYOFF EXPOSURE IS NOW ROUGHLY $149,000 - nearly the size of the annual cash fee, and entirely incremental. Invoices due in 30 days. A SECOND, OPTIONAL TIER exists ('Arrivals Fan Engagement', $5,750 / $6,250 / $7,500 per home game) that IS opt-in, triggered only 'if PARTNER and FORCE 10 agree'.
Amazon Alexa - 2026	Storm Sponsor / Amazon Alexa	10	opt-out	2026-12-01		30 days' written notice prior to expiration of Term or Extension Term	UNEXECUTED DRAFT - a Word document with a blank effective-date field ('[   ], 2026'), both signature blocks empty, and a filename marking it as a revision with edits. Every value on this row is provisional. CORRECTED ON REVIEW - THE TERM IS ONE YEAR, NOT THREE: the Term ends 12/31/2026 and 2027/2028 sit in two separate Extension Terms, which the payment tables label 'For Each Contract Year During any Extension Term'. Committed spend as drafted is $300,000; the full table total is $1,038,606, of which $738,606 is contingent on neither party giving 30 days' notice before 12/1/2026 and again before 12/1/2027. Fees 2026 $300,000 (one installment due on the Effective Date, no split) / 2027 $351,717 / 2028 $386,889 (each due January 1). THE 2026 PRICE IS A NEGOTIATED DISCOUNT, NOT A STUB: $351,717 / 1.10 = $319,743, so the schedule is a clean 10.0% escalator off a notional $319,743 base with 2026 knocked down to $300,000 - a $19,743 concession. Col K carries the 10.0%. SEPARATE PITCH DOCUMENT: 'Storm_Alexa_Partnership Framework_April 26' proposes an entirely different deal - June 2026 to December 2030, starting at $1,500,000 per year with a 10% escalator, Founding Partner of the BECU Storm Center, with a stated five-year minimum for founding partners. That is roughly $7-9M against this draft's $1.04M. The two documents are alternative deal shapes, not versions of one deal. Reconcile before treating this row as real. Zack confirmed the former Alexa row ($300,000) was a duplicate; it has been deleted from this file.	in			Sec 3(c): Force 10 'shall provide' Exh. C benefits during each WNBA Playoff Game and Sponsor 'shall be obligated to make payment' - no opt-out. Playoffs are IN and stack ON TOP of the annual fee, uncapped in aggregate: 1st round $8,583 (max 2), Semis $9,330 (max 3), Finals $11,196 (max 4) - up to $72,858 in a deep run. Invoiced after playoffs, due in 15 days. Exh. B incremental game fees stack too: $7,464 per home game above 23. Draft terms.
Amazon Community - 2026	Amazon Community		opt-in	2026-12-01		Both parties must mutually agree, with written notice at least 30 days before expiry	Amazon.com Services LLC sponsorship agreement. Term runs through 12/31/2026. Sec 2(b) requires the parties to MUTUALLY AGREE to a single three-year Extension Term, with written notice no later than 30 days before expiry - an opt-in, deadline 12/1/2026, LIVE. EXTENSION PRICING IS ALREADY FIXED: $131,250 per year flat through 2029, but on a different payment schedule (on or before April 1 and October 1) than the initial term. NO ESCALATOR anywhere - flat $131,250 for 2024, 2025 and 2026, total $393,750, so col J is correctly 'N'. Initial-term installments are two of $65,625, the second due September 1. EXECUTION IS INCOMPLETE ON ITS FACE: the effective date reads 'June ___, 2024' with the day blank, Amazon signed on 8/10/2024, and the Force 10 signature block's date field is empty - so the commencement date is undetermined from the document alone. Sec 2(e): if Force 10's arena lease rights are modified or terminated, Sponsor's rights auto-modify and the fee is subject to reduction or refund. All Exhibit A benefits are reviewed annually and mutually agreed, so the benefit set is not locked.	out			Sec 3(c): 'Force 10 shall not provide Partner with Benefits for the WNBA Playoffs.' Trade Benefits (3(d)) and Training Center Benefits (3(e)) are likewise excluded. No playoff option and no playoffs in the deal. LOOSE END: Sec 3(a) still references 'the playoff-specific benefits set forth on Exhibit C', but no Exhibit C is attached to the document. Recommend striking that reference.
Amazon CPA Partnership - 2026 - Storm	Amazon CPA Partnership		unknown			None - Contract Years 11-20 fees are set by good-faith mutual determination, not an option	THIS IS THE OVG / CLIMATE PLEDGE ARENA LETTER AGREEMENT, and the payor is NOT Amazon. Seattle Arena Company, LLC (SAC, the Oak View Group entity operating Climate Pledge Arena) pays Force 10 'Storm Fees' out of SAC's own Naming Rights and Sponsorship Agreement with Amazon.com Services LLC dated 6/24/2020. PAY-WHEN-PAID: Sec 14 makes Force 10's right to the Storm Fees contingent on SAC first receiving the corresponding amounts from Amazon, and SAC has no liability for anything Amazon does not pay - though the same section automatically excuses Force 10 from all Deliverables and exclusivity obligations on a payment default. Letter Agreement effective 10/14/2020; Term runs 20 Contract Years from the Arena Opening Date. Storm Fees: $0 pre-opening, $125,000 for Contract Years 1-10, and for CY11-20 an amount 'to be mutually determined in good faith' with a $125,000 floor. NO ESCALATOR in the first ten years, so col J is correctly 'N'. Equal quarterly installments; Force 10 must supply an annual Performance Certification. THREE TERMINATION ROUTES, only one automatic: (i) automatic on termination of the Storm Lease / Facility Use Agreement with the City of Seattle; (ii) on SAC's Naming Rights Agreement with Amazon ending, but only UPON WRITTEN NOTICE from SAC - no notice, no termination; (iii) either party for uncured material breach after 60 days' notice. ONGOING OBLIGATION: Sec 1(e) requires Force 10 to notify SAC of any new marquee Storm inventory with an annual value of $100,000 or more, with no stated sunset. Sec 1(c) expressly carves out direct Force 10-Amazon deals on non-Arena business 'including without limitation, Alexa and related products' - which is what makes the separate Alexa and Amazon rows possible.	in			No separate playoff fee or option exists. Exhibit A.B: Amazon receives the Storm Deliverables 'during all Storm playoff home games... at no additional cost', so playoffs are IN the deal on the flat fee.
BDA - 2026	BDA	5	opt-out	2027-12-01		30 days' written notice prior to expiration of Term	Sec 2(b): Term auto-extends one additional 24-month period (2028-2029) unless EITHER party gives written Notice of Termination at least 30 days before the 12/31/2027 expiration. Extension fees 2028 $57,881 / 2029 $60,775 - 5.0% continues. Effective 5/18/2025, ~31 months / 3 WNBA seasons. Fee includes $10,000/yr merchandise credit. SEPARATE UNCAPPED REVENUE NOT IN DEAL TOTAL: Sec 5(b)(i) 10% commission to Force 10 on BDA Net Spend Revenue above $275,000 in a calendar year.	out			Sec 3(c): 'Intentionally omitted.' Exh. C: 'Intentionally omitted.' No playoff option, none included. Sec 3(d) exclusivity does still extend to Playoff Games in the Home Arena.
BECU - 2026	BECU	3.5	unknown	2034-06-30		120-day Exclusive Negotiation Period beginning 10 months prior to Term expiration (approx. 6/30/2034)	Sec 2.2(a): NEITHER opt-in NOR opt-out - no unilateral option. A 120-day Exclusive Negotiation Period opens 10 months before the Term ends (4/30/2035). At least 30 days before it closes Force 10 must make a written Final Offer of not less than 5 years; BECU has until the period ends to accept, and Force 10 may not solicit third parties before then. Term 10 yrs 5/1/2025-4/30/2035, ~$13.5M. Rights Fee capped at the Exh. D figure regardless of added games; due Jan 30 each year. Category ROFR: 21 days to match, plus 7 business days if the third-party offer is later cut 25%+.	opt-out	2026-02-15		Exh. D: Sponsor is DEEMED to participate unless it opts out in writing by February 15 of each Contract Year (first year 6/15/2025; BECU opted in). Next deadline 2/15/2027. Playoff Game Fees per home game: $7,450 pre-QF / $8,098 QF or SF / $9,717 Finals.
Carter Subaru 2026	Carter Subaru	5	unknown			None - no Option to Extend clause in the agreement	Sec 2 has NO Option to Extend clause - 2(b) goes straight to Termination by Force 10. Term is Effective Date (4/6/2026) through 12/31/2027, 2 contract years. ONE EXCEPTION: a work-stoppage clause extends the Term a year, with an extra fee, if more than 50% of a Contract Year's games are cancelled. Fees 2026 $65,000 / 2027 $68,250 = 5.0%, five equal monthly installments Apr-Aug. SEPARATE RIGHT: Exh. A Sec C.2 gives Carter a ROFR on any 'Official Vehicle' offer with only a 10-DAY match window, forfeited if Sponsor 'otherwise attempts to negotiate'. Benefits are expressly non-exclusive.	in			Sec 3(c): no opt-out. Playoffs IN, priced per home game: 1st round $3,841 (max 2), Semis $4,175 (max 3), Finals $5,010 (max 4). Max ~$40,265/postseason.
Delta Dental - 2026	Delta Dental	5	opt-in	2026-12-01		Both parties must serve an Opt-In Notice at least 30 days before expiry; Force 10 must remind Sponsor twice from Oct 1	TRUE BILATERAL OPT-IN - Sec 2(b) is titled 'Opt-In to Extend the Term'. The Term ends 12/31/2026 and does NOT auto-renew. To extend, EACH party must serve an affirmative Opt-In Notice no later than 30 days before expiry (12/1/2026). If either fails to serve, 'this Agreement will automatically terminate on the last day of the then-current Term.' Force 10 is contractually required to remind Sponsor at least twice starting October 1. Up to two 12-month extensions, not past 12/31/2028 without further written consent. NOTE the first year is a STUB - Effective Date 3/6/2026, so $100,000 buys about ten months. Option years 2027 $105,000 and 2028 $110,250 at 5.0%.	opt-out	2026-08-15		Sec 3(c): Sponsor may opt out of Playoffs and Exh. C benefits on written notice at least 30 days before the WNBA Playoffs begin, or August 15, whichever comes first.
KOMO 2026-2027	KOMO		opt-out	2025-11-15		45-day good-faith Negotiation Period prior to expiration of Initial Term (12/31/2025); at least two meetings	Binding Media Rights Term Sheet, 3 WNBA seasons 2025-2027. Initial Term 3/21/2025-12/31/2025. Either party could terminate by 11/15/2025; neither did, so the Term auto-renewed through the end of the 2027 season. DEADLINE PASSED - deal is in its Extension Term. SECOND EXIT: either party could also terminate before the 2026 season on a change in WNBA media-distribution Rules. ESCALATOR IS FLAT DOLLARS: Per Game Fee $12,500 (2025) -> $15,000 (2026) -> $17,500 (2027), +$2,500 per game per year. Col K blank because it is percent-formatted. KOMO pays a PER-GAME fee within 30 days of each month-end, so annual value varies with games telecast. Term Sheet expires on execution of a Definitive Agreement and is not binding without WNBA Enterprises approval.	unknown			Silent on playoffs as a priced item. Per Game Fee covers 'Storm Games' without saying whether Playoff Games are included; playoffs appear only as an example Ancillary Show. Needs confirmation.
NW LECET 2026	NW LECET	5	opt-out	2027-12-01		30 days' written notice prior to expiration of Term or Extension Term	Sec 2(b): auto-extends one additional 12-month period unless either party gives written Notice of Termination at least 30 days before the 12/31/2027 expiration. Extension fee $80,686 (5.0% over 2027). CONTRACT TYPO: the Extension Term payment table is dated 'March 31, 2027', duplicating the 2027 installment date - almost certainly meant 3/31/2028. The 2025->2026 step (+41.4%) is a restructure, not the escalator; the true rate is 5.0% from 2026 to 2027.	in			Sec 3(c): no opt-out. Playoffs IN, priced per home game: 1st round $2,300 (max 2), Semis $2,500 (max 3), Finals $3,000 (max 4). Max ~$24,100. Invoiced at conclusion, payable within 15 days.
